"ID"|"Line"|"Link"|"Type"|"Message"|"Code"|"Fix 1"|Fix 2"
00001|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00001|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00002|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00002|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00003|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00003.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00003|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00003.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00004|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00004|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00004|67|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java#L67"",""Github"")"|argument|incompatible argument for parameter arg0 of setAttribute.|request.getSession().setAttribute(param, "10340");|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):param|NONE
00004|67|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java#L67"",""Github"")"|argument|incompatible argument for parameter arg1 of setAttribute.|request.getSession().setAttribute(param, "10340");|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):param|NONE
